Role,Definition
Responsible,The person responsible for completing a task or project.
Accountable,The individual accountable for the overall execution of the task and final approval.
Consulted,Experts whose opinion is sought during the project.
Informed,Individuals who need to be updated on the project's progress.
Support,This is someone who offers support with some specific process or concept on the task.
Knowledge-Lead,This is someone who's responsible for documenting and delivering training regarding a specific process.
